time,q_w,q_x,q_y,q_z,q_w_dot,q_x_dot,q_y_dot,q_z_dot
0.0,0.9209217440718112,0.006852353177301844,0.09713003116397984,0.37738831937111056,-0.0021008800158279794,0.0027960925767131343,0.005636399709952174,0.003625238314766655
0.01,0.9209007283747034,0.006880317965927459,0.09718640978078551,0.37742457717741407,-0.002101910580693379,0.0027967595713615867,0.00563769658149609,0.0036258923826826273
0.02,0.9208797023699864,0.006908289422828475,0.09724280136666567,0.3774608415221094,-0.002102941512440818,0.0027974265472073285,0.005638993380818742,0.0036265462745536147
0.03,0.920858666053991,0.006936267547816211,0.09729920592089812,0.37749711240343553,-0.0021039728111408615,0.002798093504226694,0.005640290107864452,0.0036271999903137453
0.04,0.9208376194230476,0.006964252340701745,0.0973556234427601,0.3775333898196304,-0.002105004476864053,0.0027987604423960035,0.005641586762577506,0.0036278535298971347
0.05,0.9208165624734856,0.006992243801295863,0.09741205393152827,0.3775696737689317,-0.002106036509680923,0.002799427361691563,0.005642883344902171,0.0036285068932378805
0.06,0.920795495201634,0.007020241929409231,0.09746849738647874,0.37760596424957615,-0.0021070689096619796,0.002800094262089664,0.00564417985478268,0.0036291600802700664
0.07,0.9207744176038206,0.007048246724852137,0.09752495380688711,0.37764226125980005,-0.002108101676877717,0.0028007611435665854,0.005645476292163244,0.0036298130909277622
0.08,0.920753329676373,0.007076258187434739,0.09758142319202837,0.3776785647978388,-0.00210913481139861,0.0028014280060985916,0.005646772656988047,0.0036304659251450216
0.09,0.9207322314156179,0.007104276316966889,0.09763790554117698,0.37771487486192734,-0.0021101683132951172,0.002802094849661935,0.005648068949201244,0.0036311185828558864
0.1,0.9207111228178813,0.007132301113258254,0.09769440085360678,0.3777511914502998,-0.002111202182637678,0.0028027616742328553,0.005649365168746962,0.0036317710639943803
0.11,0.9206900038794883,0.007160332576118265,0.09775090912859115,0.37778751456118975,-0.002112236419496715,0.002803428479787571,0.005650661315569303,0.003632423368494512
0.12,0.9206688745967636,0.0071883707053560396,0.09780743036540286,0.37782384419283016,-0.0021132710239426342,0.0028040952663022957,0.005651957389612344,0.003633075496290278
0.13,0.9206477349660313,0.007216415500780525,0.09786396456331409,0.377860180343453,-0.0021143059960458213,0.0028047620337532274,0.005653253390820132,0.0036337274473156583
0.14,0.9206265849836142,0.007244466962200404,0.09792051172159655,0.3778965230112902,-0.0021153413358766474,0.0028054287821165464,0.0056545493191366885,0.0036343792215046177
0.15,0.9206054246458348,0.007272525089424158,0.09797707183952128,0.3779328721945725,-0.002116377043505464,0.002806095511368422,0.005655845174506008,0.003635030818791107
0.16,0.9205842539490152,0.007300589882259973,0.09803364491635883,0.37796922789153015,-0.002117413119002606,0.0028067622214850113,0.005657140956872057,0.0036356822391090636
0.17,0.9205630728894763,0.00732866134051586,0.09809023095137917,0.3780055901003926,-0.0021184495624383885,0.002807428912442456,0.005658436666178775,0.003636333482392407
0.18,0.9205418814635382,0.007356739463999519,0.09814682994385175,0.37804195881938907,-0.0021194863738831127,0.0028080955842168824,0.005659732302370075,0.003636984548575044
0.19,0.9205206796675208,0.007384824252518464,0.09820344189304536,0.3780783340467476,-0.002120523553407059,0.0028087622367844074,0.005661027865389847,0.0036376354375908656
0.2,0.9204994674977433,0.00741291570587996,0.0982600667982283,0.3781147157806957,-0.0021215611010804896,0.0028094288701211298,0.005662323355181946,0.0036382861493737487
0.21,0.9204782449505234,0.007441013823891021,0.09831670465866837,0.37815110401946056,-0.002122599016973653,0.002810095484203139,0.005663618771690207,0.003638936683857554
0.22,0.9204570120221791,0.007469118606358433,0.09837335547363264,0.37818749876126845,-0.0021236373011567764,0.0028107620790065045,0.005664914114858435,0.00363958704097613
0.23,0.9204357687090271,0.007497230053088744,0.09843001924238778,0.3782239000043448,-0.0021246759537000702,0.00281142865450729,0.005666209384630408,0.003640237220663308
0.24,0.9204145150073835,0.00752534816388826,0.0984866959641998,0.37826030774691455,-0.0021257149746737266,0.002812095210681539,0.005667504580949877,0.003640887222852905
0.25,0.9203932509135637,0.007553472938563023,0.09854338563833422,0.37829672198720227,-0.0021267543641479217,0.0028127617475052842,0.005668799703760568,0.0036415370474787235
0.26,0.9203719764238827,0.007581604376918878,0.09860008826405589,0.37833314272343127,-0.002127794122192812,0.0028134282649545455,0.005670094753006179,0.0036421866944745516
0.27,0.9203506915346542,0.007609742478761408,0.09865680384062923,0.3783695699538248,-0.002128834248878538,0.002814094763005326,0.005671389728630378,0.0036428361637741613
0.28,0.9203293962421918,0.00763788724389593,0.09871353236731802,0.37840600367660493,-0.00212987474427522,0.0028147612416336166,0.005672684630576809,0.00364348545531131
0.29,0.9203080905428079,0.0076660386721275845,0.09877027384338546,0.37844244388999343,-0.002130915608452962,0.002815427700815396,0.005673979458789088,0.003644134569019742
0.3,0.9202867744328148,0.00769419676326122,0.09882702826809422,0.3784788905922112,-0.0021319568414818516,0.0028160941405266284,0.005675274213210809,0.003644783504833186
0.31,0.9202654479085234,0.007722361517101438,0.09888379564070647,0.37851534378147866,-0.002132998443431956,0.0028167605607432606,0.00567656889378553,0.0036454322626853523
0.32,0.9202441109662444,0.007750532933452666,0.09894057596048364,0.37855180345601547,-0.002134040414373326,0.0028174269614412305,0.005677863500456787,0.0036460808425099428
0.33,0.9202227636022876,0.007778711012118996,0.09899736922668677,0.3785882696140405,-0.002135082754375994,0.0028180933425964614,0.005679158033168088,0.0036467292442406395
