time,q_w,q_x,q_y,q_z,q_w_dot,q_x_dot,q_y_dot,q_z_dot
0.0,0.9209150815605687,0.0068315120054152825,0.0970731659819924,0.37741958540097464,-0.0027670252921043565,0.0007116851267044064,-5.0084752443930334e-05,0.006751624507909968
0.01,0.920887404753169,0.00683862993368946,0.09707266585392067,0.37748711031188364,-0.0027679156498432453,0.0007117831143083999,-5.014409843373567e-05,0.006752385948367532
0.02,0.9208597190408068,0.006845748841908759,0.09707216513253412,0.3775546428364535,-0.002768806204840945,0.0007118810965138388,-5.020346651774664e-05,0.006753147265554164
0.03,0.9208320244215091,0.006852868730019212,0.0970716638176119,0.3776221829734515,-0.0027696969571123333,0.0007119790733172395,-5.0262856698646e-05,0.006753908459427421
0.04,0.9208043208933032,0.006859989597966826,0.09707116190893303,0.37768973072164436,-0.0027705879066722778,0.0007120770447151161,-5.032226897911608e-05,0.006754669529944847
0.05,0.920776608454216,0.006867111445697601,0.09707065940627653,0.3777572860797981,-0.0027714790535356367,0.0007121750107039821,-5.0381703361838964e-05,0.006755430477063979
0.06,0.9207488871022745,0.006874234273157474,0.09707015630942137,0.37782484904667835,-0.0027723703977172607,0.0007122729712803497,-5.0441159849496026e-05,0.006756191300742345
0.07,0.9207211568355053,0.006881358080292347,0.0970696526181465,0.37789241962105063,-0.0027732619392319934,0.0007123709264407298,-5.0500638444768184e-05,0.006756952000937463
0.08,0.9206934176519347,0.006888482867048103,0.09706914833223092,0.37795999780167977,-0.0027741536780946673,0.000712468876181633,-5.056013915033594e-05,0.006757712577606839
0.09,0.9206656695495895,0.006895608633370576,0.09706864345145347,0.3780275835873302,-0.0027750456143201094,0.0007125668204995676,-5.061966196887925e-05,0.0067584730307079744
0.1,0.9206379125264957,0.006902735379205569,0.09706813797559308,0.37809517697676626,-0.0027759377479231397,0.0007126647593910417,-5.0679206903077625e-05,0.00675923336019836
0.11,0.9206101465806796,0.006909863104498872,0.09706763190442858,0.37816277796875125,-0.0027768300789185645,0.0007127626928525617,-5.07387739556102e-05,0.006759993566035473
0.12,0.920582371710167,0.006916991809196191,0.0970671252377388,0.37823038656204844,-0.002777722607321185,0.0007128606208806334,-5.0798363129155316e-05,0.006760753648176787
0.13,0.9205545879129836,0.0069241214932432545,0.09706661797530254,0.37829800275542075,-0.0027786153331457956,0.0007129585434717608,-5.085797442639123e-05,0.0067615136065797615
0.14,0.9205267951871553,0.006931252156585701,0.09706611011689859,0.37836562654763034,-0.0027795082564071793,0.0007130564606224475,-5.091760784999533e-05,0.006762273441201851
0.15,0.9204989935307075,0.006938383799169161,0.09706560166230571,0.3784332579374394,-0.0027804013771201143,0.0007131543723291958,-5.097726340264468e-05,0.006763033152000498
0.16,0.9204711829416654,0.0069455164209392605,0.09706509261130258,0.3785008969236093,-0.002781294695299367,0.0007132522785885062,-5.1036941087016126e-05,0.006763792738933134
0.17,0.9204433634180545,0.006952650021841539,0.09706458296366792,0.37856854350490104,-0.002782188210959697,0.0007133501793968789,-5.109664090578562e-05,0.006764552201957187
0.18,0.9204155349578997,0.006959784601821529,0.09706407271918038,0.37863619768007534,-0.002783081924115855,0.0007134480747508126,-5.115636286162885e-05,0.006765311541030068
0.19,0.9203876975592261,0.006966920160824731,0.09706356187761861,0.3787038594478923,-0.002783975834782585,0.0007135459646468048,-5.121610695722102e-05,0.006766070756109186
0.2,0.9203598512200581,0.006974056698796546,0.09706305043876126,0.37877152880711207,-0.0027848699429746217,0.0007136438490813526,-5.127587319523641e-05,0.006766829847151934
0.21,0.9203319959384206,0.00698119421568245,0.09706253840238686,0.3788392057564938,-0.0027857642487066916,0.0007137417280509508,-5.13356615783496e-05,0.006767588814115701
0.22,0.920304131712338,0.006988332711427818,0.09706202576827404,0.3789068902947964,-0.002786658751993511,0.0007138396015520941,-5.139547210923419e-05,0.006768347656957863
0.23,0.9202762585398347,0.006995472185978004,0.09706151253620125,0.37897458242077836,-0.0027875534528497897,0.0007139374695812752,-5.145530479056342e-05,0.00676910637563579
0.24,0.9202483764189349,0.00700261263927829,0.09706099870594706,0.37904228213319785,-0.0027884483512902298,0.0007140353321349865,-5.151515962500976e-05,0.006769864970106839
0.25,0.9202204853476624,0.007009754071274001,0.09706048427728992,0.37910998943081253,-0.0027893434473295242,0.0007141331892097188,-5.1575036615245754e-05,0.006770623440328361
0.26,0.9201925853240412,0.00701689648191035,0.0970599692500083,0.3791777043123799,-0.002790238740982359,0.0007142310408019618,-5.163493576394292e-05,0.006771381786257694
0.27,0.9201646763460953,0.007024039871132566,0.09705945362388063,0.3792454267766563,-0.0027911342322634067,0.0007143288869082044,-5.169485707377264e-05,0.006772140007852171
0.28,0.9201367584118479,0.007031184238885806,0.09705893739868528,0.3793131568223984,-0.0027920299211873383,0.0007144267275249337,-5.1754800547405553e-05,0.006772898105069112
0.29,0.9201088315193229,0.007038329585115241,0.09705842057420065,0.37938089444836215,-0.0027929258077688123,0.0007145245626486364,-5.181476618751216e-05,0.006773656077865829
0.3,0.920080895666543,0.007045475909765922,0.0970579031502051,0.37944863965330305,-0.0027938218920224795,0.0007146223922757978,-5.187475399676185e-05,0.006774413926199623
0.31,0.9200529508515319,0.007052623212782967,0.09705738512647691,0.3795163924359761,-0.0027947181739629823,0.0007147202164029019,-5.1934763977824275e-05,0.006775171650027791
0.32,0.9200249970723124,0.007059771494111384,0.09705686650279441,0.3795841527951362,-0.002795614653604957,0.0007148180350264319,-5.199479613336808e-05,0.006775929249307615
0.33,0.9199970343269073,0.007066920753696193,0.09705634727893585,0.3796519207295374,-0.0027965113309630276,0.0007149158481428696,-5.205485046606171e-05,0.006776686723996369
0.34,0.9199690626133393,0.007074070991482347,0.09705582745467947,0.3797196962379337,-0.0027974082060518136,0.0007150136557486957,-5.211492697857292e-05,0.006777444074051318
0.35000000000000003,0.9199410819296312,0.0070812222074147614,0.09705530702980349,0.37978747931907847,-0.002798305278885924,0.0007151114578403901,-5.2175025673568964e-05,0.006778201299429719
0.36,0.9199130922738052,0.007088374401438353,0.09705478600408607,0.3798552699717244,-0.0027992025494799574,0.000715209254414431,-5.2235146553716845e-05,0.006778958400088818
0.37,0.9198850936438836,0.007095527573497967,0.09705426437730542,0.3799230681946246,-0.0028001000178485107,0.0007153070454672961,-5.2295289621682844e-05,0.0067797153759858505
0.38,0.9198570860378886,0.007102681723538436,0.09705374214923965,0.37999087398653064,-0.002800997684006164,0.0007154048309954616,-5.235545488013289e-05,0.0067804722270780465
0.39,0.9198290694538421,0.007109836851504531,0.09705321931966687,0.38005868734619447,-0.002801895547967496,0.0007155026109954027,-5.2415642331732256e-05,0.006781228953322624
0.4,0.9198010438897661,0.007116992957341012,0.09705269588836514,0.3801265082723674,-0.0028027936097470727,0.0007156003854635932,-5.247585197914585e-05,0.006781985554676791
0.41000000000000003,0.9197730093436822,0.007124150040992605,0.09705217185511252,0.3801943367638,-0.002803691869359453,0.000715698154396506,-5.253608382503816e-05,0.006782742031097749
0.42,0.919744965813612,0.007131308102403969,0.09705164721968705,0.38026217281924296,-0.002804590326819189,0.0007157959177906131,-5.25963378720729e-05,0.006783498382542686
0.43,0.9197169132975768,0.007138467141519801,0.09705112198186673,0.380330016437446,-0.0028054889821408214,0.0007158936756423851,-5.265661412291388e-05,0.006784254608968785
0.44,0.9196888517935978,0.007145627158284662,0.09705059614142954,0.380397867617159,-0.0028063878353388858,0.0007159914279482916,-5.2716912580223616e-05,0.006785010710333215
0.45,0.9196607812996963,0.007152788152643134,0.0970500696981534,0.3804657263571308,-0.002807286886427906,0.0007160891747048007,-5.277723324666459e-05,0.00678576668659314
0.46,0.9196327018138932,0.007159950124539799,0.09704954265181626,0.38053359265611014,-0.0028081861354224,0.00071618691590838,-5.283757612489906e-05,0.006786522537705715
