time,q_w,q_x,q_y,q_z,q_w_dot,q_x_dot,q_y_dot,q_z_dot
0.0,0.9209074717954249,0.006871343475329232,0.09716832480734593,0.3774129431860239,-0.0035287277942348534,0.004695633098113254,0.00946546373392912,0.00608782308800879
0.01,0.9208721843293957,0.006918285075944103,0.09726296900777129,0.3774738034881479,-0.0035297072016813595,0.00469495117896398,0.009463954735153438,0.006086345099595119
0.02,0.9208368870738184,0.006965219858276508,0.09735759811739289,0.3775346490129588,-0.0035306859163156392,0.004694269188936369,0.009462445651084271,0.006084867273879815
0.03,0.9208015800356201,0.007012147821618901,0.09745221213535843,0.3775954797620842,-0.003531663938253443,0.004693587128094739,0.009460936481845239,0.006083389610919452
0.04,0.9207662632217263,0.007059068965264299,0.09754681106081686,0.37765629573715254,-0.0035326412676105405,0.004692904996503386,0.009459427227559906,0.006081912110770559
0.05,0.9207309366390617,0.007105983288506467,0.0976413948929184,0.37771709693979266,-0.0035336179045027177,0.004692222794226587,0.009457917888351795,0.006080434773489629
0.06,0.9206956002945498,0.007152890790639717,0.0977359636308144,0.37777788337163387,-0.003534593849045777,0.004691540521328589,0.009456408464344375,0.006078957599133105
0.07,0.9206602541951128,0.00719979147095905,0.09783051727365759,0.3778386550343065,-0.0035355691013555434,0.004690858177873623,0.009454898955661073,0.006077480587757394
0.08,0.9206248983476717,0.007246685328760098,0.09792505582060186,0.37789941192944076,-0.0035365436615478517,0.0046901757639258995,0.009453389362425265,0.006076003739418854
0.09,0.9205895327591465,0.007293572363339137,0.09801957927080232,0.3779601540586681,-0.0035375175297385625,0.004689493279549598,0.009451879684760278,0.006074527054173807
0.1,0.9205541574364559,0.007340452573993088,0.09811408762341534,0.37802088142362006,-0.0035384907060435466,0.004688810724808884,0.009450369922789394,0.006073050532078528
0.11,0.9205187723865176,0.007387325960019508,0.09820858087759846,0.37808159402592884,-0.0035394631905786966,0.004688128099767898,0.009448860076635843,0.0060715741731892535
0.12,0.9204833776162481,0.007434192520716595,0.09830305903251058,0.37814229186722736,-0.0035404349834599214,0.004687445404490759,0.009447350146422815,0.0060700979775621736
0.13,0.9204479731325627,0.007481052255383171,0.09839752208731177,0.3782029749491489,-0.0035414060848031476,0.004686762639041563,0.009445840132273446,0.006068621945253439
0.14,0.9204125589423753,0.007527905163318743,0.09849197004116325,0.3782636432733275,-0.0035423764947243174,0.004686079803484383,0.009444330034310822,0.006067146076319154
0.15,0.9203771350525992,0.007574751243823416,0.09858640289322755,0.37832429684139773,-0.0035433462133393945,0.004685396897883273,0.00944281985265799,0.006065670370815388
0.16,0.920341701470146,0.007621590496197959,0.09868082064266846,0.3783849356549945,-0.0035443152407643556,0.004684713922302261,0.009441309587437937,0.006064194828798162
0.17,0.9203062582019266,0.007668422919743757,0.09877522328865092,0.37844555971575344,-0.0035452835771151965,0.0046840308768053545,0.009439799238773614,0.006062719450323457
0.18,0.9202708052548503,0.007715248513762844,0.09886961083034117,0.37850616902531087,-0.0035462512225079316,0.0046833477614565385,0.009438288806787919,0.006061244235447208
0.19,0.9202353426358255,0.007762067277557907,0.0989639832669066,0.3785667635853035,-0.00354721817705859,0.004682664576319778,0.009436778291603703,0.006059769184225316
0.2,0.9201998703517592,0.007808879210432274,0.09905834059751593,0.3786273433973686,-0.003548184440883221,0.0046819813214590104,0.009435267693343765,0.006058294296713628
0.21,0.9201643884095578,0.007855684311689894,0.09915268282133899,0.378687908463144,-0.003549150014097888,0.004681297996938159,0.009433757012130865,0.006056819572967961
0.22,0.9201288968161259,0.007902482580635365,0.09924700993754698,0.3787484587842681,-0.003550114896818674,0.004680614602821117,0.009432246248087707,0.006055345013044079
0.23,0.9200933955783672,0.007949274016573879,0.09934132194531219,0.37880899436237997,-0.003551079089161679,0.004679931139171761,0.00943073540133695,0.006053870616997712
0.24,0.9200578847031844,0.00799605861881137,0.09943561884380815,0.3788695151991189,-0.0035520425912430164,0.004679247606053944,0.009429224472001207,0.006052396384884546
0.25,0.9200223641974785,0.008042836386654302,0.0995299006322098,0.3789300212961254,-0.0035530054031788255,0.004678564003531491,0.00942771346020304,0.0060509223167602155
0.26,0.9199868340681503,0.008089607319409832,0.09962416730969305,0.37899051265503964,-0.003553967525085252,0.004677880331668217,0.009426202366064968,0.006049448412680328
0.27,0.9199512943220983,0.008136371416385775,0.09971841887543519,0.3790509892775032,-0.0035549289570784683,0.004677196590527901,0.009424691189709457,0.006047974672700438
0.28,0.9199157449662207,0.008183128676890491,0.09981265532861466,0.37911145116515765,-0.003555889699274657,0.004676512780174311,0.009423179931258931,0.006046501096876062
0.29,0.9198801860074142,0.00822987910023309,0.09990687666841123,0.3791718983196454,-0.0035568497517900217,0.004675828900671187,0.009421668590835758,0.006045027685262671
0.3,0.9198446174525743,0.008276622685723227,0.10000108289400571,0.3792323307426091,-0.00355780911474078,0.004675144952082248,0.009420157168562267,0.006043554437915698
0.31,0.9198090393085953,0.008323359432671262,0.10009527400458036,0.3792927484356925,-0.0035587677882431717,0.004674460934471191,0.009418645664560733,0.006042081354890532
0.32,0.9197734515823707,0.008370089340388156,0.10018944999931843,0.3793531514005392,-0.003559725772413446,0.004673776847901691,0.009417134078953384,0.00604060843624252
0.33,0.9197378542807924,0.008416812408185505,0.10028361087740464,0.37941353963879393,-0.0035606830673678763,0.004673092692437402,0.009415622411862407,0.0060391356820269654
0.34,0.9197022474107514,0.00846352863537555,0.10037775663802469,0.37947391315210166,-0.0035616396732227485,0.004672408468141954,0.009414110663409933,0.0060376630922991305
0.35000000000000003,0.9196666309791373,0.008510238021271186,0.10047188728036566,0.37953427194210815,-0.0035625955900943683,0.0046717241750789534,0.009412598833718047,0.006036190667114236
0.36,0.9196310049928389,0.008556940565185914,0.1005660028036158,0.3795946160104595,-0.003563550818099056,0.004671039813311989,0.00941108692290879,0.006034718406527461
0.37,0.9195953694587434,0.008603636266433864,0.10066010320696459,0.3796549453588024,-0.003564505357353151,0.004670355382904624,0.009409574931104153,0.006033246310593938
0.38,0.9195597243837373,0.008650325124329828,0.10075418848960271,0.3797152599887843,-0.0035654592079730086,0.0046696708839203994,0.009408062858426077,0.006031774379368765
0.39,0.9195240697747056,0.008697007138189222,0.10084825865072207,0.37977555990205275,-0.0035664123700749986,0.004668986316422836,0.009406550704996458,0.00603030261290699
0.4,0.9194884056385323,0.008743682307328093,0.10094231368951581,0.37983584510025636,-0.003567364843775513,0.004668301680475433,0.00940503847093715,0.006028831011263627
0.41000000000000003,0.9194527319820999,0.008790350631063131,0.10103635360517826,0.379896115585044,-0.0035683166291909556,0.00466761697614166,0.009403526156369944,0.0060273595744936405
0.42,0.9194170488122904,0.008837012108711639,0.10113037839690497,0.37995637135806504,-0.0035692677264377495,0.0046669322034849775,0.009402013761416597,0.006025888302651957
0.43,0.9193813561359839,0.008883666739591612,0.10122438806389276,0.38001661242096957,-0.0035702181356323326,0.004666247362568811,0.00940050128619881,0.006024417195793459
0.44,0.9193456539600598,0.008930314523021584,0.10131838260533965,0.3800768387754083,-0.003571167856891165,0.0046655624534565725,0.009398988730838248,0.006022946253972988
0.45,0.9193099422913964,0.008976955458320805,0.10141236202044482,0.38013705042303236,-0.003572116890330718,0.004664877476211648,0.009397476095456514,0.006021475477245345
0.46,0.9192742211368703,0.009023589544809116,0.10150632630840871,0.38019724736549315,-0.003573065236067479,0.0046641924308974,0.00939596338017517,0.006020004865665285
0.47000000000000003,0.9192384905033577,0.009070216781807021,0.10160027546843294,0.380257429604443,-0.0035740128942179563,0.004663507317577177,0.009394450585115732,0.006018534419287525
0.48,0.9192027503977328,0.009116837168635619,0.10169420949972041,0.38031759714153485,-0.0035749598648986735,0.004662822136314292,0.009392937710399665,0.006017064138166737
0.49,0.9191670008268694,0.009163450704616657,0.10178812840147519,0.3803777499784218,-0.0035759061482261694,0.004662136887172048,0.00939142475614839,0.006015594022357552
0.5,0.9191312417976395,0.009210057389072542,0.10188203217290256,0.3804378881167579,-0.003576851744317001,0.004661451570213719,0.009389911722483272,0.00601412407191456
0.51,0.9190954733169145,0.00925665722132629,0.10197592081320904,0.3804980115581972,-0.00357779665328774,0.0046607661855025614,0.009388398609525641,0.006012654286892311
0.52,0.9190596953915641,0.009303250200701534,0.10206979432160233,0.3805581203043949,-0.0035787408752549783,0.004660080733101804,0.009386885417396768,0.006011184667345305
0.53,0.9190239080284572,0.009349836326522556,0.10216365269729137,0.3806182143570067,-0.0035796844103353214,0.004659395213074656,0.009385372146217884,0.006009715213328009
0.54,0.9189881112344616,0.009396415598114286,0.10225749593948627,0.38067829371768813,-0.00358062725864539,0.004658709625484309,0.009383858796110166,0.006008245924894841
0.55,0.9189523050164433,0.009442988014802253,0.10235132404739845,0.38073835838809617,-0.003581569420301827,0.004658023970393922,0.00938234536719475,0.006006776802100184
0.56,0.9189164893812681,0.009489553575912602,0.10244513702024041,0.3807984083698878,-0.0035825108954212863,0.004657338247866644,0.00938083185959272,0.006005307844998375
0.5700000000000001,0.9188806643357998,0.009536112280772183,0.10253893485722597,0.38085844366472066,-0.0035834516841204405,0.004656652457965593,0.009379318273425112,0.0060038390536437045
0.58,0.9188448298869015,0.009582664128708401,0.10263271755757011,0.380918464274253,-0.00358439178651598,0.0046559666007538695,0.009377804608812918,0.006002370428090434
0.59,0.918808986041435,0.009629209119049334,0.10272648512048897,0.3809784702001436,-0.003585331202724608,0.004655280676294548,0.009376290865877079,0.006000901968392771
0.6,0.9187731328062609,0.009675747251123688,0.10282023754520002,0.3810384614440515,-0.0035862699328630472,0.004654594684650687,0.009374777044738488,0.005999433674604884
0.61,0.9187372701882385,0.009722278524260773,0.10291397483092184,0.381098438007637,-0.003587207977048037,0.0046539086258853115,0.009373263145517993,0.005997965546780901
0.62,0.9187013981942262,0.00976880293779054,0.10300769697687426,0.3811583998925602,-0.0035881453353963314,0.004653222500061438,0.009371749168336394,0.005996497584974912
0.63,0.9186655168310813,0.009815320491043578,0.1031014039822783,0.3812183471004818,-0.0035890820080247,0.004652536307242056,0.009370235113314442,0.005995029789240958
0.64,0.9186296261056595,0.00986183118335111,0.10319509584635622,0.38127827963306365,-0.003590017995049933,0.0046518500474901255,0.00936872098057284,0.005993562159633041
0.65,0.9185937260248157,0.009908335014044974,0.10328877256833144,0.3813381974919674,-0.003590953296588832,0.0046511637208685955,0.009367206770232245,0.005992094696205123
0.66,0.9185578165954035,0.00995483198245764,0.1033824341474286,0.3813981006788559,-0.003591887912758219,0.004650477327440386,0.00936569248241327,0.005990627399011122
0.67,0.9185218978242754,0.010001322087922211,0.10347608058287358,0.3814579891953918,-0.003592821843674928,0.004649790867268397,0.009364178117236468,0.0059891602681049145
0.68,0.9184859697182826,0.010047805329772414,0.10356971187389344,0.38151786304323926,-0.0035937550894558144,0.0046491043404155025,0.009362663674822358,0.005987693303540336
0.6900000000000001,0.9184500322842751,0.010094281707342601,0.10366332801971642,0.38157772222406194,-0.0035946876502177456,0.004648417746944562,0.009361149155291404,0.005986226505371177
0.7000000000000001,0.9184140855291022,0.010140751219967761,0.10375692901957201,0.38163756673952465,-0.0035956195260776064,0.004647731086918409,0.009359634558764025,0.005984759873651193
0.71,0.9183781294596114,0.010187213866983506,0.10385051487269087,0.38169739659129276,-0.0035965507171523,0.0046470443603998535,0.009358119885360592,0.005983293408434093
0.72,0.9183421640826493,0.010233669647726087,0.10394408557830487,0.3817572117810319,-0.003597481223558742,0.004646357567451681,0.009356605135201427,0.005981827109773541
