time,q_w,q_x,q_y,q_z,q_w_dot,q_x_dot,q_y_dot,q_z_dot
0.0,0.9209427494649782,0.006824395057140117,0.0970736655169703,0.3773520681049594,-9.980982067495149e-05,0.00048509272363318664,-0.00019134898901922414,0.0002840414114752621
0.005,0.9209422488982549,0.006826827876209334,0.0970727058701495,0.3773534926172285,-9.980982067495149e-05,0.00048509272363318664,-0.00019134898901922414,0.0002840414114752621
0.01,0.9209417452961902,0.006829275406179885,0.09707174041956657,0.3773549257398794,-0.00010041687369903664,0.0004880349040153199,-0.00019250973983681797,0.00028576349408836253
0.015,0.9209412386586309,0.006831737647050611,0.09707076916520536,0.37735636747284923,-0.000101023957284718,0.0004909770841664194,-0.00019367049387411376,0.0002874855641759357
0.02,0.9209407289854226,0.006834214598820345,0.09706979210704964,0.37735781781607486,-0.00010163107161621269,0.0004939192640849562,-0.00019483125115046847,0.0002892076216623898
0.025,0.9209402162764102,0.006836706261487913,0.09706880924508304,0.3773592767694927,-0.00010223821687773752,0.0004968614437693986,-0.00019599201168523763,0.0002909296664721315
0.03,0.9209397005314378,0.006839212635052132,0.09706782057928916,0.3773607443330388,-0.0001028453932535086,0.000499803623218213,-0.00019715277549777624,0.0002926516985295661
0.035,0.9209391817503485,0.006841733719511815,0.09706682610965145,0.37736222050664886,-0.0001034526009277416,0.0005027458024298627,-0.00019831354260743794,0.00029437371775909755
0.04,0.9209386599329842,0.00684426951486576,0.09706582583615325,0.37736370529025803,-0.00010405984008465173,0.0005056879814028088,-0.0001994743130335757,0.0002960957240851284
0.045,0.9209381350791863,0.006846820021112766,0.09706481975877788,0.37736519868380136,-0.00010466711090845356,0.0005086301601355099,-0.00020063508679554122,0.0002978177174320593
0.05,0.920937607188795,0.0068493852382516185,0.0970638078775085,0.3773667006872134,-0.00010527441358336125,0.0005115723386264223,-0.00020179586391268548,0.00029953969772428994
0.055,0.9209370762616497,0.006851965166281097,0.09706279019232818,0.37736821130042825,-0.00010588174829358839,0.0005145145168739991,-0.00020295664440435826,0.0003012616648862182
0.06,0.9209365422975888,0.006854559805199974,0.0970617667032199,0.3773697305233797,-0.00010648911522334806,0.0005174566948766915,-0.0002041174282899084,0.0003029836188422406
0.065,0.9209360052964498,0.006857169155007013,0.09706073741016658,0.37737125835600116,-0.0001070965145568528,0.0005203988726329476,-0.00020527821558868371,0.00030470555951675194
0.07,0.9209354652580694,0.00685979321570097,0.09705970231315096,0.37737279479822566,-0.00010770394647831458,0.0005233410501412134,-0.00020643900632003094,0.0003064274868341458
0.075,0.9209349221822831,0.006862431987280594,0.09705866141215576,0.37737433984998586,-0.00010831141117194488,0.0005262832273999319,-0.00020759980050329585,0.00030814940071881416
0.08,0.9209343760689258,0.006865085469744623,0.09705761470716355,0.3773758935112139,-0.00010891890882195463,0.0005292254044075438,-0.00020876059815782324,0.0003098713010951473
0.085,0.9209338269178314,0.006867753663091794,0.09705656219815686,0.3773774557818419,-0.00010952643961255419,0.0005321675811624868,-0.00020992139930295681,0.00031159318788753413
