788940000.0,7077281.4206702905,215.57559438246918,12350.317530699756,-13.098880650015193,130.98202335788267,7503.955092492296,6811602.187573938,33527.3031566023,1920777.9114245756,-2036.9879334665281,126.06501796983179,7222.260042472624,4792822.714161723,4840237.480995583,1920777.9114245756,-1529.509410026226,-1351.226551872482,7222.260042472624,7077281.4206702905,12352.198830410845,0.0,-13.098880650015193,7505.098155293106,0.0,7077281.4206702905,7084.930186246614,10118.328923395138,-13.098880650015193,4304.747454377831,6147.81649649789,20267942.130119637,35374.26819616104,0.0,-7.740385485753029,4434.9096982050305,0.0
788940060.0,7062157.664287653,8068.751156315846,462257.4848337379,-490.8542267164528,130.70210682359524,7487.873378378502,6675673.281124352,41018.21164364135,2349920.6599352807,-2492.4281667730484,123.54777337009128,7077.664229317119,4691409.556771728,4749418.094603291,2349920.674892639,-1849.7754826454284,-1675.0516286568723,7077.664699489558,7062157.584918664,462328.85598099825,-0.09176242578256694,-490.85923205832125,7489.059039587088,-0.0030565375932544575,7062157.639437945,265180.93871900236,378716.82682591386,-490.85581178445375,4295.547893085136,6134.640504529087,20265730.88252092,301458.1565166861,-0.0013652290905550798,-65.96680914827621,4434.425840069211,-4.5505877197559753e-05
788940120.0,7018419.092644594,15889.233599651427,910286.5505865118,-966.6009997524916,129.8926316370777,7441.373528921153,6512715.024312013,48343.04215470481,2769523.5943029323,-2937.660846387739,120.53101052865374,6904.3770929004995,4571001.122282675,4639368.621729456,2769523.647022751,-2162.470696870581,-1992.0120971004046,6904.377848456017,7018417.957696991,910432.1563590809,-0.36627196337098783,-966.6376754956244,7442.673795598678,-0.006087459274417249,7018418.729021297,522202.46591706015,745776.5851135162,-966.6128242644853,4268.943704966031,6096.542829561551,20260026.340406917,567490.0811486704,-0.005460337280790636,-124.18186364829984,4433.1776001225835,-9.099335562282214e-05
788940180.0,6946244.638855356,23645.33963846085,1354617.6231227473,-1438.394118809124,128.55697182073686,7364.649848177687,6323394.394636695,55472.19056346092,3177886.3667502585,-3370.8766857188743,117.02729813543718,6703.1223920856455,4432089.958016541,4510539.753388617,3177886.4681758964,-2466.324553395464,-2300.8196924871686,6703.123223398639,6946239.141712582,1354846.3036732464,-0.8212531894555051,-1438.5132081250606,7366.128354678147,-0.009068187382801178,6946242.862924665,777108.1625095205,1109806.507151387,-1438.4327599414971,4225.044393268799,6033.680687152805,20250829.48693029,833424.18497671,-0.012283750108233252,-182.37551602550369,4431.165193418497,-0.00013644675190651375
788940240.0,6845929.457155289,31305.65417031802,1793446.254499554,-1904.306052436259,126.70068891985426,7258.0225991147645,6108485.376781362,62376.86677552259,3573355.5047603636,-3790.3193081728423,113.05119044055668,6474.7382161875585,4275243.702976131,4363458.422889058,3573355.6526668575,-2760.1053664184496,-2600.2221568529076,6474.738895036459,6845912.575135114,1793770.2896869686,-1.452964318841501,-1904.5802444433266,7259.729563167077,-0.011974445152969256,6845923.979697935,1028865.3846131202,1469327.9942638683,-1904.3953129351405,4164.030518928136,5946.31329448418,20238141.907119412,1099214.6277383685,-0.021832952359117017,-240.5377370042053,4428.3889666611485,-0.00018185039171658961
788940300.0,6717883.614795373,38839.16071699831,2224990.9513102104,-2362.4352966656156,124.33150313372674,7121.936339801034,5868865.567958881,69029.21171229598,3954331.1469778894,-4194.292518295519,108.61915418401541,6220.17277268237,4101102.604926902,4198725.488281885,3954331.3250591755,-3042.6253543520374,-2889.008432954386,6220.173059097038,6717843.380227172,2225425.1161365677,-2.256219618073583,-2362.9561490929236,7123.904006012652,-0.014782401736886316,6717870.526144274,1276454.4330791663,1822881.031166917,-2362.605196565308,4086.152841509234,5834.8006354459,20221965.787605505,1364815.5939215533,-0.034104488732107294,-298.6585027199475,4424.849398145975,-0.00022718861380748544
788940360.0,6562630.280624876,46215.369804448674,2647500.566729745,-2810.9146644212287,121.45925356306842,6956.957632302599,5605512.35885395,75402.4096646448,4319273.512182444,-4581.167171997286,103.74948746508541,5940.479709873655,3910376.7405970795,4017013.111385031,4319273.689561622,-3312.745441402165,-3166.0135805055243,5940.479359347972,6562548.762348352,2648060.9322409253,-3.224420457735656,-2811.788687084342,6959.196370273605,-0.017468815018558057,6562603.714886993,1518872.7314421616,2169030.183139262,-2811.200156478664,3991.731133325365,5699.6017559059,20202303.916246172,1630181.3006576363,-0.04909396474490077,-356.7277964451582,4420.547097677433,-0.00027244577406651625
788940420.0,6380803.423376546,53404.44464273485,3059261.5369446143,-3247.919330412773,118.09584805106094,6763.772151718485,5319498.715125022,81470.79555811481,4666709.074890142,-4949.387616764107,98.46223140286203,5636.813023478334,3703842.956970276,3819061.8507084027,4666709.20606716,-3569.379750010442,-3430.123393469962,5636.8117942960835,6380655.965099247,3059964.0603420525,-4.3495948496116945,-3249.263364430228,6766.267353612018,-0.020011171510407634,6380755.306930949,1755138.9231910666,2506370.4772171974,-3248.3587835633834,3881.15267822649,5541.272605647092,20179159.68164544,1895266.0056089628,-0.06679604788349391,-414.7356103135872,4415.482806464165,-0.00031760624955643694
788940480.0,6173145.035885072,60377.32349872183,3458604.926959856,-3671.6745804063894,114.25520320652613,6543.181229179433,5011988.585954239,87209.95672341874,4995236.4241268765,-5297.477680190259,92.7790754646719,5310.421597550019,3482341.5526872245,3605677.486722277,4995236.449362839,-3811.499769425816,-3680.2787024372205,5310.419257971335,6172899.788985054,3459463.88256468,-5.622445272522585,-3673.6106324187085,6545.891124313048,-0.02238782263022765,6173064.932541994,1984296.8698572575,2833533.140806429,-3672.3080835663013,3754.8704692773904,5360.463447360223,20152537.07257041,2160024.014849393,-0.08720446899386529,-472.6719470432233,4409.657396991577,-0.00036265444255291577
788940540.0,5940501.904367958,67105.8381924852,3843913.2529751407,-4080.46321949998,109.95317529254231,6296.097868087084,4684231.96721081,92596.82881868341,5303531.784953799,-5624.046192555456,86.72325734201617,4962.643430339176,3246772.719299817,3377727.5987122366,5303531.63107613,-4038.1381908985304,-3915.479351331553,4962.639765403176,5940119.682576657,3844939.561819088,-7.0324045489342755,-4083.112929038444,6298.952340826228,-0.024578116669616255,5940376.9662378095,2205419.5323391897,3149191.1724321158,-4081.3307642648283,3613.4011219075796,5157.915856470592,20122440.677264526,2424409.690736522,-0.11031202391572184,-530.5268216573982,4403.071872871852,-0.00040757478457610543
788940600.0,5683821.944430129,73562.8281918346,4213627.0510149,-4472.632600471225,105.20748274001787,6023.542277253321,4337559.647434647,97609.78560229091,5590354.18533586,-5927.792036281014,80.31945823525395,4594.899594638043,2998092.7625390883,3136137.9129564096,5590353.766934375,-4248.392405006963,-4134.787842746219,4594.894412354443,5683256.416726158,4214826.570994659,-8.567699493510874,-4476.111531416478,6026.442740277243,-0.02656252577934559,5683636.973901422,2417612.718939475,3452064.720862165,-4473.772205479493,3457.3225210686087,4934.459338380779,20088875.682657704,2688377.459774221,-0.13611057535797885,-588.2902632037797,4395.727368671418,-0.00045235174041625536
788940660.0,5404150.127583137,79722.2498266789,4566251.164219619,-4846.60124021078,100.037621101479,5726.63696780876,3973377.665075395,102228.72230575838,5854550.253856579,-6207.508721718723,73.59369436971105,4208.687979956765,2737310.123886305,2881888.4421598604,5854549.474827599,-4441.427661284182,-4337.332650906473,4208.681116684602,5403348.353950047,4567623.004802301,-10.215422014812418,-4851.013193544901,5729.457306857303,-0.02832276731419149,5403887.751969251,2620018.684749651,3740926.2505018874,-4848.047082005072,3287.2712224380207,4691.0075918717885,20051847.873473343,2951881.8204641547,-0.16459105501550714,-645.9523164709625,4387.6251497159055,-0.000496969812150555
788940720.0,5102624.023773161,85559.28019501363,4900360.724082973,-5200.8649994786565,94.46477129453267,5406.601462721907,3593161.505273058,106435.1324038521,6095058.636530908,-6462.0884946545275,66.57320550946781,3805.576860647643,2465481.222598801,2616009.436011008,6095057.391915384,-4616.479894467291,-4522.311205500388,3805.568185491723,5101527.326622468,4901895.6494221045,-11.96160731246777,-5206.296544057423,5409.190032457273,-0.029841918899482754,5102264.980291404,2811819.5682535637,4014605.472730563,-5202.645614541878,3103.939628738756,4428.554448886935,20011363.631232448,3214877.35114492,-0.19574346592667058,-703.5030437023598,4378.7666118726265,-0.0005414135431521926
