OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
UNKNOWN,,2026-04-28T01:57:54.830304,11.86057058,.10533723,83.1632,44.2265,353.9502,4.9604,0,U,270221,999,27597,.49791849E-3,.169E-5,0
UNKNOWN,,2026-05-07T09:40:22.347552,12.95594967,.00335004,90.2531,5.5817,315.1464,44.6949,0,U,270222,999,30158,.13915099E-2,.401E-5,0
UNKNOWN,,2026-05-03T09:37:13.365696,13.00361502,.00253452,90.2559,4.5385,129.8165,230.5194,0,U,270223,999,30103,-.69428599E-3,-.202E-5,0
UNKNOWN,,2026-05-09T09:34:06.955968,13.40599197,.05255357,73.1447,169.1148,333.7019,23.8233,0,U,270224,999,30783,.19312124E-2,.2371E-4,0
UNKNOWN,,2026-04-26T12:29:22.305120,11.67011759,.03971153,101.2562,198.8964,327.0371,30.6456,0,U,270226,999,27079,.11714083E-3,-.26E-6,0
UNKNOWN,,2026-05-10T07:05:41.555904,12.24571358,.01392909,74.0066,150.7483,143.4556,217.6084,0,U,270228,999,28397,.52997703E-3,.46E-6,0
UNKNOWN,,2026-05-09T23:54:28.327680,13.91279046,.01423639,98.9397,51.7525,2.5358,357.6493,0,U,270229,999,32261,.22349138E-3,.263E-5,0
UNKNOWN,,2026-05-08T15:40:57.770688,12.21266451,.02903654,102.9928,104.0857,164.5751,196.4378,0,U,270230,999,28104,.28208618E-1,.3348E-4,0
UNKNOWN,,2026-05-08T12:23:36.356928,12.92561210,.07008044,72.9684,206.4901,157.9204,205.3705,0,U,270232,999,29695,.26921341E-2,.2208E-4,0
UNKNOWN,,2026-05-08T06:14:25.324512,14.38549650,.0031027,98.6255,134.4733,293.2653,66.5268,0,U,270233,999,32955,.11065141E-3,.295E-5,0
UNKNOWN,,2026-05-09T10:40:31.543392,13.59305458,.01486279,82.9399,20.3832,36.3252,324.7873,0,U,270235,999,31630,.44042432E-3,.364E-5,0
UNKNOWN,,2026-05-08T22:37:07.895136,12.95540796,.00278755,90.2381,2.6313,272.1972,87.5956,0,U,270236,999,29728,.14445815E-2,.416E-5,0
UNKNOWN,,2026-05-10T01:54:06.689376,12.96020438,.00268449,90.2512,6.3857,13.8025,346.3823,0,U,270237,999,29633,.13065561E-3,.45E-6,0
UNKNOWN,,2026-05-08T10:03:24.510816,12.80840785,.01165753,63.5221,186.7788,63.4485,297.8404,0,U,270238,999,29326,.12738673E-4,-.72E-6,0
UNKNOWN,,2026-05-03T15:03:28.289664,12.27646986,.00546282,82.4434,243.1445,105.4582,255.2531,0,U,270239,999,27945,.81424089E-2,.941E-5,0
UNKNOWN,,2026-05-03T19:54:00.135936,12.64764020,.00499977,82.4316,152.7887,283.7809,75.7722,0,U,270240,999,28638,.24992457E-1,.4653E-4,0
UNKNOWN,,2026-05-09T21:41:51.254880,12.94374571,.0031786,90.2500,5.4690,357.6529,2.4436,0,U,270241,999,29575,-.22385193E-3,-.55E-6,0
UNKNOWN,,2026-04-24T10:45:32.443488,12.98588346,.00439288,90.2433,6.3036,146.9449,213.4432,0,U,270242,999,29447,.2256371E-2,.676E-5,0
UNKNOWN,,2026-05-09T10:44:36.134016,10.71451670,.10027287,101.9011,11.2108,39.2437,327.7053,0,U,270246,999,24558,.11946659E-1,.519E-5,0
UNKNOWN,,2026-05-08T09:52:45.965568,12.78864891,.00753454,66.0688,24.9690,317.5493,41.9709,0,U,270247,999,29080,.45340392E-3,.42E-6,0
UNKNOWN,,2026-04-30T01:03:52.199424,12.25834535,.00307764,82.4617,250.1425,207.4671,152.4773,0,U,270248,999,27654,.2116789E-1,.2368E-4,0
UNKNOWN,,2026-05-07T09:36:22.844160,12.95381329,.00284575,90.2415,5.5856,309.1283,50.7308,0,U,270249,999,29330,-.54524468E-3,-.147E-5,0
UNKNOWN,,2026-05-08T19:10:33.794400,12.60019588,.00723127,82.4694,157.3585,358.8655,1.2260,0,U,270250,999,28394,.9564908E-2,.1686E-4,0
UNKNOWN,,2026-04-22T01:07:55.149312,11.49834757,.07459404,102.2971,25.8118,325.2802,30.1610,0,U,270251,999,25839,-.35191223E-1,-.3066E-4,0
UNKNOWN,,2026-05-06T09:03:53.563392,12.62404285,.00004398,51.9819,2.6287,88.1926,271.8991,0,U,270252,999,28726,.1900987E-3,-.7E-6,0
UNKNOWN,,2026-05-08T21:48:02.203776,13.00322489,.00346226,90.2483,5.9931,343.5653,16.4344,0,U,270253,999,29434,-.62222203E-3,-.181E-5,0
UNKNOWN,,2026-05-09T22:44:53.617056,12.93292869,.00352519,90.2499,6.7648,15.7781,344.4427,0,U,270256,999,29407,.50242958E-3,.145E-5,0
UNKNOWN,,2026-05-05T12:55:40.937664,12.33989529,.02422979,82.3923,225.8486,81.5591,281.2866,0,U,270258,999,27783,-.77423151E-2,-.1044E-4,0
UNKNOWN,,2026-05-01T22:22:02.982144,12.09991342,.09108874,83.3505,198.8669,185.5895,173.4429,0,U,270260,999,27299,.48862178E-2,.1611E-4,0
UNKNOWN,,2026-05-09T00:28:43.194432,12.83445039,.03876214,63.2109,29.1304,26.0812,335.9154,0,U,270261,999,28914,.14775886E-2,.409E-5,0
UNKNOWN,,2026-04-29T09:05:15.177696,12.95633079,.00312652,90.2505,8.2002,303.9187,55.8960,0,U,270262,999,28995,.14593786E-2,.421E-5,0
UNKNOWN,,2026-05-07T13:25:06.468096,14.35035369,.00312361,86.4339,58.8226,224.1861,135.6841,0,U,270263,999,32376,.11250392E-3,.342E-5,0
UNKNOWN,,2026-05-09T09:07:17.540832,13.15649382,.00160944,82.5482,172.4954,17.7674,342.4007,0,U,270264,999,29555,.75033811E-3,.295E-5,0
UNKNOWN,,2026-05-03T07:26:13.756416,12.73093099,.01515426,82.4498,139.3881,191.8347,167.9174,0,U,270265,999,28359,.23047836E-1,.5008E-4,0
UNKNOWN,,2026-05-08T08:30:25.915104,12.57420466,.00618168,82.4415,168.7311,79.8646,280.9407,0,U,270266,999,28067,.25908267E-1,.4385E-4,0
UNKNOWN,,2026-05-08T09:19:53.775840,12.96387708,.00261795,90.2433,5.7882,236.4882,123.3736,0,U,270267,999,29139,-.7617333E-3,-.211E-5,0
